dateSold,price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt
10/13/2014,221900.0,3.0,1.0,1180.0,5650.0,1955.0
12/9/2014,538000.0,3.0,2.25,2570.0,7242.0,1951.0
2/25/2015,180000.0,2.0,1.0,770.0,10000.0,1933.0
12/9/2014,604000.0,4.0,3.0,1960.0,5000.0,1965.0
2/18/2015,510000.0,3.0,2.0,1680.0,8080.0,1987.0
5/12/2014,1230000.0,4.0,4.5,5420.0,101930.0,2001.0
6/27/2014,257500.0,3.0,2.25,1715.0,6819.0,1995.0
1/15/2015,291850.0,3.0,1.5,1060.0,9711.0,1963.0
4/15/2015,229500.0,3.0,1.0,1780.0,7470.0,1960.0
3/12/2015,323000.0,3.0,2.5,1890.0,6560.0,2003.0
4/3/2015,662500.0,3.0,2.5,3560.0,9796.0,1965.0
5/27/2014,468000.0,2.0,1.0,1160.0,6000.0,1942.0
5/28/2014,310000.0,3.0,1.0,1430.0,19901.0,1927.0
10/7/2014,400000.0,3.0,1.75,1370.0,9680.0,1977.0
3/12/2015,530000.0,5.0,2.0,1810.0,4850.0,1900.0
1/24/2015,650000.0,4.0,3.0,2950.0,5000.0,1979.0
7/31/2014,395000.0,3.0,2.0,1890.0,14040.0,1994.0
5/29/2014,485000.0,4.0,1.0,1600.0,4300.0,1916.0
12/5/2014,189000.0,2.0,1.0,1200.0,9850.0,1921.0
4/24/2015,230000.0,3.0,1.0,1250.0,9774.0,1969.0
5/14/2014,385000.0,4.0,1.75,1620.0,4980.0,1947.0
8/26/2014,2000000.0,3.0,2.75,3050.0,44867.0,1968.0
7/3/2014,285000.0,5.0,2.5,2270.0,6300.0,1995.0
5/16/2014,252700.0,2.0,1.5,1070.0,9643.0,1985.0
11/20/2014,329000.0,3.0,2.25,2450.0,6500.0,1985.0
11/3/2014,233000.0,3.0,2.0,1710.0,4697.0,1941.0
6/26/2014,937000.0,3.0,1.75,2450.0,2691.0,1915.0
12/1/2014,667000.0,3.0,1.0,1400.0,1581.0,1909.0
6/24/2014,438000.0,3.0,1.75,1520.0,6380.0,1948.0
3/2/2015,719000.0,4.0,2.5,2570.0,7173.0,2005.0
11/10/2014,580500.0,3.0,2.5,2320.0,3980.0,2003.0
12/1/2014,280000.0,2.0,1.5,1190.0,1265.0,2005.0
6/24/2014,687500.0,4.0,1.75,2330.0,5000.0,1929.0
11/10/2014,535000.0,3.0,1.0,1090.0,3000.0,1929.0
12/3/2014,322500.0,4.0,2.75,2060.0,6659.0,1981.0
6/13/2014,696000.0,3.0,2.5,2300.0,3060.0,1930.0
5/28/2014,550000.0,4.0,1.0,1660.0,34848.0,1933.0
12/30/2014,640000.0,4.0,2.0,2360.0,6000.0,1904.0
2/13/2015,240000.0,4.0,1.0,1220.0,8075.0,1969.0
6/20/2014,605000.0,4.0,2.5,2620.0,7553.0,1996.0
7/15/2014,625000.0,4.0,2.5,2570.0,5520.0,2000.0
8/11/2014,775000.0,4.0,2.25,4220.0,24186.0,1984.0
7/7/2014,861990.0,5.0,2.75,3595.0,5639.0,2014.0
10/28/2014,685000.0,3.0,1.0,1570.0,2280.0,1922.0
7/29/2014,309000.0,3.0,1.0,1280.0,9656.0,1959.0
7/18/2014,488000.0,3.0,2.5,3160.0,13603.0,2003.0
3/25/2015,210490.0,3.0,1.0,990.0,8528.0,1966.0
7/16/2014,785000.0,4.0,2.5,2290.0,13416.0,1981.0
